Time,cu1903,cu1904,cu1905,cu1906,cu1907,cu1908,cu1909,cu1910,cu1911,cu1912,cu2001,cu2002
00:00.0,49600,48960,48740,48710,48710,48830,48740,48710,48750,48740,48670,48640
00:00.5,49600,48960,48750,48740,48710,48800,48740,48710,48750,48740,48670,48640
00:01.0,49600,48970,48740,48710,48710,48770,48740,48710,48750,48740,48670,48640
00:01.5,49600,48980,48740,48710,48710,48730,48740,48710,48750,48740,48670,48640
00:02.0,49600,48990,48730,48710,48710,48730,48740,48710,48750,48740,48670,48640
00:02.5,49600,48980,48750,48700,48710,48710,48700,48710,48750,48740,48670,48640
00:03.0,49600,48990,48750,48710,48710,48710,48700,48710,48750,48740,48670,48640
00:03.5,49760,48990,48750,48710,48720,48710,48700,48710,48750,48740,48670,48640
00:04.0,49760,48990,48750,48710,48720,48730,48690,48710,48750,48740,48670,48640
00:04.5,49760,48990,48760,48720,48720,48730,48700,48710,48740,48740,48670,48640
00:05.0,49760,48990,48760,48730,48720,48730,48710,48710,48730,48730,48670,48640
00:05.5,49760,48990,48760,48730,48730,48730,48710,48710,48720,48730,48670,48640
00:06.0,49760,49010,48760,48740,48730,48730,48710,48710,48710,48720,48670,48640
00:06.5,49760,49000,48760,48730,48730,48730,48710,48710,48700,48700,48660,48640
00:07.0,49760,49000,48770,48740,48740,48730,48710,48710,48690,48700,48660,48640
00:07.5,49760,49000,48760,48740,48740,48730,48720,48710,48690,48690,48660,48640
00:08.0,49760,49000,48760,48740,48740,48730,48720,48710,48690,48690,48660,48640
00:08.5,49760,49000,48770,48740,48740,48730,48720,48710,48690,48690,48660,48640
00:09.0,49760,49000,48770,48740,48740,48730,48720,48710,48690,48690,48670,48640
00:09.5,49760,49000,48770,48740,48740,48730,48720,48710,48690,48690,48670,48640
00:10.0,49760,49000,48770,48740,48740,48730,48720,48720,48690,48690,48670,48640
00:10.5,49760,49000,48770,48740,48740,48730,48720,48720,48690,48690,48670,48640
00:11.0,49760,49000,48770,48740,48740,48730,48720,48720,48690,48690,48670,48640
00:11.5,49760,49000,48770,48740,48740,48730,48720,48720,48690,48690,48670,48640
00:12.0,49760,49000,48770,48740,48740,48730,48720,48720,48690,48690,48670,48640
00:12.5,49760,49000,48770,48740,48740,48730,48720,48720,48690,48690,48670,48640
00:13.0,49760,49000,48760,48740,48740,48730,48720,48720,48690,48690,48670,48640
00:13.5,49760,49000,48760,48740,48740,48730,48720,48720,48690,48690,48670,48640
00:14.0,49760,49000,48760,48740,48740,48730,48720,48720,48690,48690,48670,48640
00:14.5,49760,49000,48760,48740,48740,48730,48720,48720,48690,48690,48670,48640
00:15.0,49760,49000,48760,48740,48740,48730,48720,48720,48690,48690,48670,48640
00:15.5,49760,49000,48760,48730,48740,48730,48720,48720,48690,48690,48670,48640
00:16.0,49760,49000,48760,48730,48740,48730,48720,48720,48690,48690,48670,48640
00:16.5,49760,49010,48770,48740,48740,48730,48720,48720,48690,48690,48670,48640
00:17.0,49760,49010,48760,48740,48740,48740,48720,48720,48690,48690,48670,48640
00:17.5,49750,49010,48770,48740,48740,48740,48720,48720,48690,48720,48670,48640
00:18.0,49750,49010,48770,48740,48740,48740,48720,48720,48690,48710,48670,48640
00:18.5,49750,49010,48770,48740,48740,48730,48720,48720,48690,48710,48670,48640
00:19.0,49750,49010,48760,48740,48740,48730,48720,48720,48690,48710,48670,48640
00:19.5,49750,49010,48760,48750,48740,48730,48730,48720,48690,48710,48670,48640
00:20.0,49750,49010,48760,48750,48740,48740,48730,48720,48690,48710,48670,48640
00:20.5,49750,49010,48770,48740,48750,48740,48730,48720,48690,48710,48670,48640
00:21.0,49750,49010,48770,48740,48740,48740,48720,48720,48690,48710,48670,48640
00:21.5,49750,49010,48760,48740,48740,48740,48720,48720,48690,48710,48670,48640
00:22.0,49750,49000,48760,48730,48730,48730,48720,48720,48690,48710,48670,48640
00:22.5,49750,49000,48760,48730,48720,48730,48720,48720,48690,48710,48670,48640
00:23.0,49750,49000,48760,48730,48720,48730,48720,48720,48690,48700,48670,48640
00:23.5,49750,49000,48760,48730,48720,48730,48720,48720,48690,48700,48670,48640
00:24.0,49750,49000,48760,48730,48720,48730,48720,48720,48690,48690,48670,48640
00:24.5,49750,49000,48760,48730,48730,48720,48720,48720,48690,48690,48670,48640
00:25.0,49750,49000,48760,48730,48730,48720,48720,48720,48690,48690,48670,48640
00:25.5,49750,49000,48760,48740,48730,48720,48710,48720,48690,48690,48670,48640
00:26.0,49750,49000,48750,48740,48730,48730,48710,48720,48690,48690,48670,48640
00:26.5,49750,49000,48750,48740,48740,48730,48710,48720,48690,48690,48670,48640
00:27.0,49750,49000,48750,48740,48740,48730,48710,48720,48690,48690,48670,48640
00:27.5,49750,49000,48750,48740,48740,48730,48710,48720,48690,48690,48670,48640
00:28.0,49750,49000,48750,48740,48740,48730,48710,48720,48690,48690,48670,48640
00:28.5,49750,49000,48760,48740,48740,48730,48710,48720,48690,48690,48670,48640
00:29.0,49750,49000,48760,48740,48740,48730,48710,48720,48690,48690,48670,48640
